Index,Title,Rating,Review Count,User Reviews,Phone Number,Address,Locality,Country,Date Generated
0,Waterbom Bali,4.5 ,"11,967",{},+62 361 755676,Jl. Kartika Plaza,Kuta 80361 ,Indonesia,2018-07-17 14:23:46
1,Tanah Lot Temple,4.0 ,"9,731",{},,"Jl. Raya Tanah Lot, Kawasan Pura Tanah Lot",Beraban 82121 ,Indonesia,2018-07-17 14:23:46
2,Sacred Monkey Forest Sanctuary,4.0 ,"27,977",{},+62 361 971304,Jalan Monkey Forest,Ubud 80571 ,Indonesia,2018-07-17 14:23:46
3,Tegalalang Rice Terrace,4.0 ,"12,254",{},,Jl. Raya Ceking Tegallalang,Ubud 80517 ,Indonesia,2018-07-17 14:23:46
4,Kelingking Beach,5.0 ,450,{},,Desa Bunga Mekar,80771 ,Indonesia,2018-07-17 14:23:46
5,Sekumpul Waterfalls,4.5 ,"1,023",{},,"Sawan, Lemukih, Sudaji, Sekumpul",Singaraja 81112 ,Indonesia,2018-07-17 14:23:46
6,Setia Darma House of Mask and Puppets,5.0 ,154,{},+62 361 8987493,Jl. Tegal Bingin,Sukawati ,Indonesia,2018-07-17 14:23:46
7,Jatiluwih Green Land,4.5 ,"2,066",{},,Jatiluwih Village,Tabanan 82152 ,Indonesia,2018-07-17 14:23:46
8,USS Liberty Shipwreck,4.5 ,"1,530",{},,Northeast Coast of Bali,Tulamben ,Indonesia,2018-07-17 14:23:46
9,Bali Theatre,4.5 ,212,{},+62 361 751300,Jl. Bypass Prof. Ida Bagus Mantra. Km. 19.8,,Indonesia,2018-07-17 14:23:46
10,Tukad Cepung Waterfall,4.5 ,105,{},,,Tembuku 80671 ,Indonesia,2018-07-17 14:23:46
11,Tirta Gangga,4.5 ,"2,593",{},+62 878-6224-0233,Jl. Abang-Amlapura,Karangasem 80852 ,Indonesia,2018-07-17 14:23:46
12,Beji Guwang Hidden Canyon,4.5 ,210,{},+62 857-3727-0288,"Gps -8. 609844, 115. 289898",Sukawati 80582 ,Indonesia,2018-07-17 14:23:46
13,Bali Eco Tours,4.5 ,257,{},+62 361 975557,"Jl. Made Lebah no. 88, Peliatan",Ubud 80571 ,Indonesia,2018-07-17 14:23:46
14,Nungnung Waterfall,4.5 ,220,{},,Plage Petang Badung,Nungnung 80353 ,Indonesia,2018-07-17 14:23:46
15,Purpa Fine Art Gallery Seminyak,5.0 ,100,{},+62 819-9940-8804,Jl. Mertanadi no. 22B,Seminyak 80361 ,Indonesia,2018-07-17 14:23:46
16,Gili Getaway,4.5 ,663,{},+62 813-3707-4147,"Serangan Harbour, Bali",Serangan Denpasar 80361 ,Indonesia,2018-07-17 14:23:46
17,Nusa Penida Island,4.5 ,424,{},,,80771 ,Indonesia,2018-07-17 14:23:46
18,Pasih Uug Beach,4.5 ,289,{},,Karang dawa,80771 ,Indonesia,2018-07-17 14:23:46
19,Les Waterfall,4.5 ,140,{},,"Desa Les, near Tejakula north Bali coastal side",Tejakula ,Indonesia,2018-07-17 14:23:46
