Index,Title,Rating,Review Count,Phone Number,Address,Locality,Country
0,Choeung Ek Genocidal Center,4.5,"11,221"," | Roluos Village, Sangkat Cheung Aek, Phnom Penh, Cambodia","Roluos Village, Sangkat Cheung Aek","Phnom Penh, ",Cambodia
1,Bayon Temple,5.0,"17,298","Angkor Thom, Siem Reap, Cambodia",Angkor Thom,"Siem Reap, ",Cambodia
2,Tuol Sleng Genocide Museum,4.5,"10,746","113 Street | Corner of Street 113 & St 350, Phnom Penh 12304, Cambodia",113 Street,"Phnom Penh 12304, ",Cambodia
3,Angkor Wat,5.0,"40,803","Siem Reap 243001, Cambodia",,"Siem Reap 243001, ",Cambodia
4,Ta Prohm,5.0,"16,680","National Road #6, Siem Reap 17252, Cambodia",National Road #6,"Siem Reap 17252, ",Cambodia
5,HUMAN Gallery - Joseba Etxebarria Photography,5.0,196,"St 1.5 No 49 | Next to Smokin' pot restaurant, Battambang 02000, Cambodia",St 1.5 No 49,"Battambang 02000, ",Cambodia
6,APOPO Visitor Center,5.0,173,"Siem Reap Koumai Road | Trapeang Ses Village, Kouk Chauk Commune, Siem Reap, Cambodia",Siem Reap Koumai Road,"Siem Reap, ",Cambodia
7,Angkor Archaeological Park,5.0,"4,662","Siem Reap, Cambodia",,"Siem Reap, ",Cambodia
8,Bambu Stage Siem Reap,5.0,138,"Bamboo Street | Bamboo Street, Wat Damnak Village, Sala Komroeuk Commune, Siem Reap, Cambodia",Bamboo Street,"Siem Reap, ",Cambodia
9,Bun Long Tuk Tuk - Day Tours,5.0,209,"Siem Reap, Cambodia",,"Siem Reap, ",Cambodia
10,Angkor Thom,5.0,"7,918","Angkor Wat, Siem Reap 17259, Cambodia",Angkor Wat,"Siem Reap 17259, ",Cambodia
11,Wonder of Angkor,5.0,117,"Siem reap | Siem reap, Siem Reap +85563, Cambodia",Siem reap,"Siem Reap +85563, ",Cambodia
12,Friendly Tuk Tuk Driver,5.0,65,"Siem Reap 85563, Cambodia",,"Siem Reap 85563, ",Cambodia
13,Banteay Srei,4.5,"6,529","Siem Reap, Cambodia",,"Siem Reap, ",Cambodia
14,Preah Khan,4.5,"1,921","Angkor Wat, Siem Reap, Cambodia",Angkor Wat,"Siem Reap, ",Cambodia
15,Angkor Centre for Conservation of Biodiversity,4.5,259,"Kbal Spean | Phnom Kulen National Park, Siem Reap, Cambodia",Kbal Spean,"Siem Reap, ",Cambodia
16,Beng Mealea,4.5,"1,252","40 km east of Angkor Wat, Cambodia",40 km east of Angkor Wat,,Cambodia
17,La Plantation,4.5,841,"Pepper Road, Secret Lake | Bosjheng village, Kon Sat commune, Kampot 07000, Cambodia","Pepper Road, Secret Lake","Kampot 07000, ",Cambodia
18,The Victory Gate,4.5,477,"Victory Way, Siem Reap, Cambodia",Victory Way,"Siem Reap, ",Cambodia
19,Daughters of Cambodia Visitor Centre,4.5,889,"#321 Sisowath Quay, Phnom Penh, Cambodia, Phnom Penh, Cambodia","#321 Sisowath Quay, Phnom Penh, Cambodia","Phnom Penh, ",Cambodia
20,Preah Vihear Temple,4.5,444,Cambodia,,,Cambodia
21,ArtBox,5.0,193,"1 Krous Village Road | Krong, Siem Reap 17252, Cambodia",1 Krous Village Road,"Siem Reap 17252, ",Cambodia
22,Sothy's Pepper Farm,4.5,651,"Pepper Road, Kep 9829, Cambodia",Pepper Road,"Kep 9829, ",Cambodia
23,Koh Ker Temple,4.5,276," | 100 Km North of Siem Reap, Cambodia",100 Km North of Siem Reap,,Cambodia
24,ROMCHEIK 5 Art Space,5.0,87,"201 Rue | Romcheik 5, Battambang 02000, Cambodia",201 Rue,"Battambang 02000, ",Cambodia
25,Banteay Samre,4.5,735,"Banteay Srei | Angkor, Siem Reap, Cambodia",Banteay Srei,"Siem Reap, ",Cambodia
26,Angkor Silk Farm,4.5,901,"Airport Road | Puok District, Siem Reap 17259, Cambodia",Airport Road,"Siem Reap 17259, ",Cambodia
27,Mekong River,4.5,199,"Phnom Penh, Cambodia",,"Phnom Penh, ",Cambodia
28,Banteay Kdei,4.5,592,"Srah Srang | Angkor, Siem Reap, Cambodia",Srah Srang,"Siem Reap, ",Cambodia
29,Koh Trong,4.5,225,"Mekong River, Kratie, Cambodia",Mekong River,"Kratie, ",Cambodia
