Index,Title,Rating,Review Count,Phone Number,Address,Locality,Country
0,Hong Kong Skyline,4.5 ,"13,256",85261317558,"Hong Kong Island, along Victoria Harbor","Hong Kong, ",China
1,Star Ferry,4.5 ,"20,441",852-23677065,"Kowloon Point, Tsim Sha Tsui, Kowloon","Hong Kong, ",China
2,Tian Tan Buddha (Big Buddha),4.5 ,"12,859",85236660606,Lantau Island,"Hong Kong, ",China
3,Hong Kong Tramways (Ding Ding),4.5 ,"9,443",852-25487102,"Whitty Street Tram Depot, Connaught Road West, Western District","Hong Kong, ",China
4,Victoria Peak (The Peak),4.5 ,"31,632",852-28497654,No.1 Lugard Road,"Hong Kong, ",China
5,Hong Kong Disneyland,4.0 ,"14,878",+852 3550 3388,Lantau Island,"Hong Kong, ",China
6,Sandbox VR,5.0 ,501,+852 3705 9338,"3A-3C Cameron Rd, Tsim Sha Tsui","Hong Kong 999077, ",China
7,L&K Custom Tailor,4.5 ,332,852-23697278,No.1 Carnarvon Road,"Hong Kong, ",China
8,Hong Kong Tourism Board,4.5 ,335,852-25081234,"Star Ferry Concourse, Tsim Sha Tsui, Kowloon","Hong Kong, ",China
9,Nan Lian Garden,4.5 ,"3,667",852-36589366,"No.60 Fung Tak Road, Diamond Hill","Hong Kong, ",China
10,Happy Valley Racecourse,4.5 ,"2,012",1817,"Happy Valley Racecourse, Happy Valley, Hong Kong Island","Hong Kong, ",China
11,Tsz Shan Monastery,4.5 ,133,852-21238666,"88 Po Mun Road, Tai Po","Hong Kong, ",China
12,Dragon's Back,4.5 ,"1,856",85231050767,,"Hong Kong, ",China
13,Chi Lin Nunnery,4.5 ,"3,071",852-23541735,"Chi Lin Rd, Diamond Hill","Hong Kong, ",China
14,Hong Kong Museum of History,4.5 ,"3,342",852-27249042,"100 Chatham Rd S, Tsim Sha Tsui East, Kowloon","Hong Kong, ",China
15,Sai kung East Country Park,4.5 ,142,+852 9187 8641,"Sai Kung Peninsula, Sai Kung District, New Territories East","Hong Kong, ",China
16,Edward Youde Aviary,4.5 ,156,852-25215041,"Hong Kong Park, Central District","Hong Kong, ",China
17,Lantau Trail,4.5 ,140,85231050767,"Lantau Island, Lidao Distict","Hong Kong, ",China
18,Po Lin (Precious Lotus) Monastery,4.5 ,"1,801",+86 903 509 4316,Lantau Island,"Hong Kong, ",China
19,Lantau Island,4.5 ,"5,107",,,"Hong Kong, ",China
20,Victoria Harbour,4.5 ,"5,804",+852 2807 6543,"Central and Western District, Hong Kong Island","Hong Kong 999077, ",China
21,Lantau Country Park,4.5 ,186,,"Lantau Island, New Territories West","Hong Kong, ",China
22,Hong Kong Park,4.5 ,"2,871",852 2521 5041,"19 Cotton Tree Dr, Central","Hong Kong, ",China
23,Ten Thousand Buddhas Monastery (Man Fat Sze),4.5 ,"2,084",852 2691 1067,"Lots 358-359,IN D D 185, Shatin","Hong Kong, ",China
24,Hong Kong Sevens,4.5 ,118,785225048311,"55 Eastern Hospital Rd, So Kon Po","Hong Kong, ",China
25,Hong Kong Stadium,4.5 ,329,852 2895 7926,,"Hong Kong, ",China
26,MacLehose Trail,4.5 ,143,85231050767,"Sai Kung District, New Territories East","Hong Kong, ",China
27,Lion's Pavilion at The Peak,4.5 ,463,,"Victoria Gap, Findlay Road","Hong Kong, ",China
28,Kadoorie Farm and Botanical Gardens,4.5 ,164,852 2488 1317,Lam Kam Road,"Hong Kong, ",China
29,Sai Kung,4.5 ,"1,181",85231050767,"Sai Kung District, New Territories East","Hong Kong, ",China
30,Sha Tin Racecourse,4.5 ,339,,Shatin,"Hong Kong, ",China
31,Ngong Ping 360,4.0 ,"6,035",852-36660606,"11 Tat Tung Road, Tung Chung, Lantau Island","Hong Kong, ",China
32,Sky100 Hong Kong Observation Deck,4.5 ,"1,769",852-26133888,"1 Austin Road West, Kowloon,","Hong Kong, ",China
33,Lamma Island,4.5 ,"1,694",852-29828100,"Lamma Island, Islands Distict","Hong Kong, ",China
