Index,Title,Rating,Review Count,User Reviews,Phone Number,Address,Locality,Country,Keywords,Duration,Price,Date Generated
0,Japan,,,{},,,,,,,,2018-07-23 16:05:00
1,Japan Panoramic Tours (DOA Japan) - Day Tour,4.5 ,998,,+81 3-6279-2988,Suite 602 Dai1 Moritoku building,Shinjuku 160-0023 ,,"{'ninja village': '70', 'mount fuji': '100', 'blueberry ice cream': '8', 'great trip': '15', 'amazing tokyo': '13', 'tokyo bay': '15', 'lunch options': '7', 'audio guide': '9', 'imperial palace': '16', 'sensoji temple': '10', 'great guide': '18', 'meeting point': '8', 'tsukiji fish market': '9', 'souvenir shops': '8', 'kim': '63', 'elgin': '155', 'airways': '28'}",,,2018-07-23 16:05:00
2,Universal Studios Japan,4.0 ,"9,247",,+81 6-6465-3000,"2-1-33 Sakurajima, Konohana-ku",Osaka 554-0031 ,,"{'express pass': '822', 'harry potter': '990', 'theme park': '424', 'roller coaster': '292', 'hollywood dream': '263', 'fast pass': '231', 'space fantasy': '155', 'butter beer': '154', 'spider man': '163', 'forbidden journey': '135', 'popular rides': '127', 'spiderman ride': '101', 'timed entry': '93', 'harry porter': '95', 'wait times': '79', 'sesame street': '76', 'three broomsticks': '73'}",,SGD 99.36,2018-07-23 16:05:00
3,Legoland Japan,3.5,285,"{'Chan_WCVHong Kong, China': 'I’ve been to Malaysia one and LA one. This is a tiny legoland. The beach party (water part) just a small area. You need to register and only 30 mins play. Then wait for next slot. Lucky that not so many people there. It’s super...More', 'David OMelbourne, Australia': 'Ok. So if you are coming here you are in to Lego and probably have kids!! My 8yo thought it was awesome. For kids 10+ it would probably be a bit tame. Park closes early andd Resort struggles after 6pm and could maybe do with...More', 'Luis Y': 'Really enjoyed the park. Submarine, splash battle, observation tower, roller coster are good rides for family with big kids. Went on a Friday, and it wasn’t so crowded, still couldn’t see everything. Open hours were too short, 10:00 am to 17:00 pm.', '2824Singapore, Singapore': 'Visited the park for about half a day, it is similar to the Legoland theme park in Malaysia. The main feature must be the mini land where there is a mini replica of the major landmarks in Japan. The submarine ride where one can see...More', 'congeonHong Kong, China': 'Much shorter line for online reedemtion ticket than purchasing on site . I went on a weekday, went straight lining up for popular games like under water ride and the dragon. But found out at 4/5pm, no one is lining up at any games. Take...More', 'c00kiem0nSingapore, Singapore': 'We finished the park in a day as it wasn\'t crowded. The shows and classes were all conducted in Japanese. The only exciting ride was ""The Apprentice"" roller coaster. The park is more suited for 5 years and under. Was also a bit disappointed that...More', 'pochay c': 'I was thinking that ok its just for kids and i would just poctures of the different lego statues/structures but boy I was wrong! The rides was super fun. Eepecially those that involve water. The interaction was not just with the riders but with the...More', 'Vivien NSingapore': 'It was our first time at a legoland and we had so much fun. I was there with two young kids and my elderly parents and we all enjoyed it. Most of the rides were suitable for all. But in general the rides are for...More', 'Lee H': 'We took our family here with 2 young kids(boy 6 and girl 8). \nThe price for entry with 1 day pass is excessive, having been told i should have purchased online 2 days in advance to save more than 50% on the entry price.\nThe...More', 'Natalie0303Hong Kong, China': ""As both of us like Lego, it's a must-go when we visit Nagoya.\nThe decorations are all good, but the rides are mostly designed for kids. So if you are not keen on Lego and looking for great adventures, this would not be a place...More""}",+81 50-5840-0505,"2-2-1 Kinjofuto, Minato-ku",Nagoya 455-8605 ,,{},,SGD 86.78,2018-07-23 16:05:00
4,Japan Wonder Travel,5.0,770,"{'yhasan786Toronto, Canada': 'Our tour guide, Naoko, was extremely good. We had a great time on the tour as our tour guide explained us all the history, food and took us around the market explaining everything. I highly recommend this tour, especially with Naoko. \n\nWas a great finish...More', 'aecaseyTasmania, Australia': 'Toshi was our guide for this food tour of the Fish market. He was funny, informative and paced the tour to give us enough time to see all that was on offer. He took us mainly to the outer market to sample food and then...More', 'CarolL464Newtown, Pennsylvania': 'We toured Tsukiji market with Asaka, our guide. We highly recommend having a guide as one would never know what shops/stalls to stop at without the inside knowledge. Asaka was very knowledgeable, and she explained what certain products were and what they were used for...More', 'Julia F': 'Yoko was a fabulous guide with excellent english. We learnt a lot more than we would have on our own and it was a great opportunity to ask general questions about Japan and the culture. The fish market was amazing and we were very lucky...More', 'Julie N': 'This tour is a wonderful way to start a trip to Tokyo. My family (two adults and one 13-year-old) love food and thought a tour of Tsukiji Market would be a great introduction to Tokyo. We were not disappointed. Our guide, Yuriko, is very knowledgeable,...More', 'Peter S': 'Very informative tour that included stops at many local shops, tastings of several types of food, lunch and even a Tuna carving demonstration.  No way we would have experienced all of this on our own without a guide. Amigo-san was very friendly, outgoing and knowledgeable....More', 'Karmen C': 'Food tour was great very informative the tour guide kazu provided us with a bottle of water and was a very good tour guide', 'AAAA138Tokyo, Japan': 'Naoko was the best guide ever.  Taking us to nooks and crannies of the inner and outter market that you would never see by yourself. I’ve never been a big believer in guided tours, but Noako has converted me with her enthusiasm, energy and in-depth...More', 'Felipe RBogota, Colombia': 'We loved this tour. My wife and 10 year old son walked through the market and enjoyed amazing food, stories and the company of nice people. Afterwards went to prepare our own sushi at a nice restaurant in the Ginza area. The Sushi Master as...More', 'SDandiSan Diego, California': ""We had this tour on our first full day in Tokyo. It's a great way to get to know the food and culture, before going in to the rest of your trip. This was definitely a highlight of our Tokyo trip and really our Japan...More""}",+81 3-6661-7134,3 Kotobashi,Chuo 103-0006 ,,{},,SGD 125.61,2018-07-23 16:05:00
5,Japan House Sao Paulo,4.5,446,"{'Kr I': 'very friendly staff\nbeautiful building\ninteresting exhibitions about food and tastes - interesting to see the japanese culture in sao paulo\nand:  free entrance !', 'Mats-olov OStockholm, Sweden': 'Intresting building with bamboo wood \non the inside intresting art and great souvenirs shop\nI got the feeling the also have classes - a great stop on ave Paulista', 'Josien_DennisIjmuiden, The Netherlands': 'As we were with a japanese colleague we decided to step into this building that has free access. There were some great exhibitions and also a pop up store. I suggest to spend approx 30-45mins. Nice to step by when you have some time on...More', 'Patricia MFlorianopolis, SC': 'Some exhibitions are very interesting!! Restaurant prices are expensive.Books for sale-lots of titles but could have more...good easy location on Ave.Paulista.To be visited many times when change of exhibitions...', 'Victor SSao Paulo, SP': 'The entrance is free, and inside, from the arquitecure, you already know this place will absorbe you... inside are plenty of books for reading in the japan house, as well as a coffee and a restaurant. Expositions of arts as well as cultural things that...More', 'markpoletDushanbe, Tajikistan': 'This free exhibit celebrates the best of Japan and Japanese immigrants to Brazil. We were taken by the art and the design exhibition. The pop up stores was an added bonus. We stayed for a coffee just so we could contiue to soak in the...More', 'GaetanoLucaRoma, Italia': 'Free exhibition, very interesting, and also the chance to try great japanese food on the third floor.', 'Niro KSao Paulo, SP': 'The Japan House is a very nice and special place in downtown Sao Paulo. Being a ""hafu"", i.e, half Japanese and a local I had to check it out. I was not disappointed at all. They had an expo on the work of Sou Fujimoto...More', 'erf2008Sao Paulo, SP': 'It\'s almost like a gallery to show Japanese artists and organize cultural happenings. The exhibits are usually great.  The restaurant is fantastic, but very expensive.  It is not your usual sushi bar, but rather ""haut-cuisine"". To be frank, it is worth every penny.\nOne important...More', 'Ronaldo R': 'Not much to say but people must go and enjoy. They have a amazing restaurant. Enjoy it. Delicious food'}",+55 11 3090-8900,Avenida Paulista 52,Sao Paulo State of Sao Paulo 01310-900 ,Brazil,{},,,2018-07-23 16:05:00
6,Japan Centre,4.0 ,359,,+44 20 3405 1246,35B Panton Street,London W1D 7ED ,,,,,2018-07-23 16:05:00
7,Arigato Japan Food Tours,5.0 ,533,,+81 90-6484-9577,,Minato 106-0045 ,,"{'walking food tour': '32', 'nishiki market': '28', 'golden gai': '20', 'food stops': '17', 'star tour': '11', 'raw chicken': '11', 'night food tour': '9', 'amazing food': '17', 'sushi': '39', 'highly recommend this tour': '19', 'yakitori': '17', 'second stop': '8', 'skewers': '6', 'spoke perfect english': '7', 'come hungry': '6', 'booked this tour': '9', 'market tour': '5'}",,SGD 188.42,2018-07-23 16:05:00
8,KyoTours Japan,5.0 ,234,,+81 90-9114-3178,,Kyoto 600-8216 ,,"{'highlights tour': '13', 'his knowledge': '18', 'grand tour': '7', 'american guide': '3', 'world history': '3', 'half day tour': '9', 'a native english speaker': '4', 'great tour': '12', 'back roads': '5', 'amazing city': '3', 'private tour': '11', 'deeper appreciation': '3', 'tour price': '3', 'customized tour': '3', 'his passion': '4', 'excellent guide': '5', 'walking tour': '11'}",,SGD 85.94,2018-07-23 16:05:00
9,WOW! Japan Experience+,5.0 ,122,,,Nagatacho GRID,Chiyoda 102-0093 ,,"{'noodles': '10', 'daily activities': '5', 'sento bath': '3', 'master chef': '3', 'great trip': '4', 'traditional meal': '2', 'traditional culture': '2', 'city life': '3', 'learn how': '5', 'nice guide': '2', 'learning how': '4', 'big cities': '2', 'an unforgettable experience': '3', 'an interesting place': '2', 'interesting facts': '2', 'bushido': '13', 'translator': '17'}",,SGD 138.35,2018-07-23 16:05:00
