Index,Title,Rating,Review Count,User Reviews,Phone Number,Address,Locality,Country,Date Generated,Keywords,Duration,Price
0,Legoland Malaysia,4.0 ,"5,187",,607 597 8888,Iskandar Puteri,Johor Bahru 79250 ,Malaysia,2018-07-21 12:57:31,"{'water park': '758', 'roller coaster': '233', 'theme park': '1,097', 'lego bricks': '130', 'the dragon': '131', 'star wars': '113', 'annual pass': '151', 'lego city': '82', 'dry park': '77', 'dino island': '75', 'lego lovers': '67', 'lego fan': '62', 'universal studios': '126', 'boating school': '49', 'lego sets': '45', 'day pass': '65', 'singapore flyer': '102'}",,S$35.00
1,Berjaya Langkawi Resort - Malaysia, 4.0 ,"5,296","{'timmayyyynzAuckland Central, New Zealand': 'Stayed here for 5 nights recently in a premier suite on water room type. Room starting to show it’s age a bit and I’d say the newest and most modern of their rooms. Nice bathroom with semi outdoor shower and outdoor spa bath. Property is...More', 'KKGaneshUnited Kingdom': 'Berjaya Langkawi Resort \n\nLet me start with the issues cost me 1/3 of the time of my stay and hate the stay in this hotel:\n- Hotel did not provide the room we booked for instead gave us twin room for 3 people \n- Toilet...More', 'Tom C': ""Look, overall this is a nice property. Pool and Beach are great and location is excellent. However, for some reason they have the worst mattresses I've ever slept on. About 6 inches thick and rock hard. I could feel the metal springs pushing into my...More"", 'Ben WAdelaide, Australia': 'We were disappointed with our visit here. Rooms and facilities were very outdated and in need of a major refurbishment. Highly recommend not bringing children under 3 as facilities are some distance from pools, restaurants etc. Flood boards in rooms creeped and woke our 2...More', 'Sandeep M': 'I and my wife stayed at The Berjaya during our visit to Malayasia in Aug 2017. \nThe resort is a wonderful place for couples specially. The Rainforest Chalets & Ocean View Chalets are amazing to stay, spacious, quite, well equipped and well maintained. \nIt feels...More'}",,Burau Bay,Langkawi 07000 ,Malaysia,2018-07-21 12:57:31,{},,
2,Legoland Malaysia Resort, 4.5 ,"2,758","{'PingnWinSingapore, Singapore': 'I had previously reviewed my stay in Mar. I am back again in Jun since my boys really enjoyed themselves. However this time, I had a bad experience with the internet booking. Somehow my credit card was deducted twice at a wrong rate! I had...More', 'TimoSageSydney, Australia': ""Been to the resort two years ago and I would say the place didn't improved a bit. Staff are great as usual but the bathroom (where we stayed) needs a bit of more cleaning, not dirty -  but I'm fuzzy when it comes to bathrooms....More"", 'WaiMun LPetaling Jaya, Malaysia': 'Love the themes they have. Children loves all the rooms! Will always demand to go back.\nHowever, some rooms smells like cigarettes despite being a non smoking room. I hope the management can do something about it.More', 'raviGuwahatiguwahati': 'Loved the property very much. One of it’s kind for the kids themed room with some meaningful artistic messages. Big size room for kids and there parents. Room size is good enough and the amenities were equally good. \nLoved the resort with all its facilities...More', 'Lu J': 'I saw other guests complaining about the slow internet in 2015 and there was response from the hotel saying that they were doing the upgrade. 3 years later in 2018, the internet speed is still slow. The download speed is no higher than 2Mbps while...More'}",,"Iskandar Puteri, 7",Johor Bahru 79250 ,Malaysia,2018-07-21 12:57:31,{},,
3,"PARKROYAL Penang Resort, Malaysia", 4.0 ,"2,801","{'travellingjjSingapore, Singapore': ""Didn't know Penang is such a good place for rest and relax which I much needed. I took a bus from Singapore to Penang for S$33 and left my luggage on the bus(Yes, I was very careless). The hotel staffs are all super nice. They...More"", 'MaxMichelle2014Launceston, Australia': 'We stayed at Parkroyal for 6 nights, it is so about location, location and location, right at the start of the night markets.  Make sure you eat at Long Beach food court - awesome.  Parkroyal is great right on the beach, happy hour is good,...More', 'Francois V': 'worst 5 star hotel experience in Asia\n\nbuffet , i m not sure they provide a buffer or a cantine for factory workers\nbuffer, every day the same, and it is small and no options, i have been eating in buffet in factory cantines beter...More', 'BecbisettSydney': 'We stayed 4 nights as a family of 5 , this was in perfect location right on beach and start of night markets. The resort has been renovated and was great. The pools were clean and nice temperature . The grounds lush , green and...More', 'ujjwal s': 'Stayed at the hotel fro 3 nights. July 2018. Took prepaid taxi for 74 MR from airport which is directly at the exit of airport. Hotel is overall good. stayed at premium sea view room. Room was clean and spacious, but rooms partitions are very...More'}",+60 4-881 1133,Batu Ferringhi Beach,Batu Ferringhi Penang Island 11100 ,Malaysia,2018-07-21 12:57:31,{},,
4,"Four Seasons Resort Langkawi, Malaysia", 4.5 ,"1,469","{'Julian C': 'My family and I just returned from a nine night stay.  The family villa was fantastic, heaps of room for a family of four.  The service was generally excellent and a number of staff went above and beyond to make our stay memorable (thanks Charlene,...More', 'CharlotteZanziMarina Bay, Singapore': 'Very kind staff and great food. Loved the ""Room"" although it lacks in light especially at night. White sand beach but the water is not appealing at all. In fairness the hotel cannot be blamed for this. It seemed very dirty but that is to...More', 'Harry L': ""Kid's club is the best which taking care very well of my 4.5yrs old daughter, staff who running the Kid's club are patience and professional. They handled well in between fun & discipline, totally understand the difficulties to manage kids in different age and they...More"", 'kendriethomas': ""What a beautiful location matched with fantastic facilities and friendly, attentive staff. Excellent range of food and beverage options and everything you needed at your fingertips, you didn't need to leave the resort if you didn't want to. We didn't want to leave and tried...More"", 'Shehani P': 'This was the perfect get away. Unimaginably accommodating, the staff were always so ready to help out, they were sweet, welcoming, whilst still being able to experience the luxury and leisure we somehow felt at home as well. The food was off the charts, there...More'}",+60 4-950 8888,Jalan Tanjung Rhu,Tanjung Rhu Langkawi 07000 ,Malaysia,2018-07-21 12:57:31,{},,
5,Berjaya Tioman Resort - Malaysia, 3.5 ,"1,688","{'MikLeungShanghai, China': 'We stayed at the Berjaya Tioman Resort for 2 weeks. We loved it there.\n\nRoom: \nThe room was clean. We were located in a room close to the restaurant, this was great. The air-conditioning leaked and the toilet sometimes didn’t flush. \n\nRestaurant:\nThe restaurant had...More', 'MerctaylorBrisbane, Australia': 'Our family of 2 adults and 2 kids stayed at the Berjaya for a week, at the end of June! Pick up from the ferry was straight forward and check in easy. This resort is HUGE! They offered to take us via buggy to our...More', 'Roger K': 'A typical Berjaya Group ripoff operation trying to squeeze out the last dollar from a run-down and cheaply built structure.\n\nUpon arrival we were greeted by a long line of people trying to check in with only 2 people manning a row of otherwise empty...More', 'JennyJunSibu, Malaysia': 'Quiet environment with beautiful scenery for holiday...However, the traveling journey to the jetty took long hours. It will be more convenient if you travel with own transport to the jetty.Do check the ferry schedule in advance while planning as the ferry trips are limited based...More', 'smellydofuSingapore, Singapore': 'The resort was fully equipped with a pool right by the beach, restaurant, games room, and buggy service to town. There was also a small booth that sold snorkeling tour packages, which were reasonably priced. The resort even had its own pier!\n\nOur room was...More'}",,,Pulau Tioman 86807 ,Malaysia,2018-07-21 12:57:31,{},,
6,Islamic Arts Museum Malaysia,4.5 ,"3,205",,+60 3-2274 2020,Jalan Lembah,Kuala Lumpur 50480 ,Malaysia,2018-07-21 12:57:31,"{'famous mosques': '82', 'national mosque': '148', 'mosque models': '26', 'muslim world': '25', 'on display': '93', 'great collection': '28', 'beautiful building': '75', 'gift shop': '91', 'worth a visit': '127', 'masjid negara': '25', 'two hours': '30', 'non muslims': '26', 'bird park': '77', 'couple of hours': '36', 'lake gardens': '25', 'air conditioned': '34', 'weapons': '186'}",,S$50.54
7,Hotel Malaysia, 3.5 ,276,"{'Rosseline T': 'We booked the deluxe room as a family of two adults and two kids. Room was spacious with two large beds. Bathroom was equipped with a bathtub, hairdryer, soap and shampoo dispensers and 4 towels. Breakfast for 4 was included in the room rate. The...More', 'Author-BloggerchickDerbyshire, United Kingdom': 'Within the trendy belt of the ‘Upper Penang Road’ you can find a hub of karaoke bars, pubs, discotheques and restaurants offering, local, Western, Indian, Chinese and even Japanese to cater for everyone’s  taste.  The Penang heritage walk is within walking distance, so too is...More', 'Frédéric H': 'We booked for 3 nights, overlooking Georgetown and the sea, noisy at night as there is a night market behind the hotel. We are 3 with a child of 2 years, only 2 towel, for a third towel an extra 5 RMB a day, I...More', 'Kathy N': ""Saturday night, 11th floor of Hotel Malaysia is the Aberdeen cafe & restaurant? We arrived 7pm, whole restaurant empty, no customers, no staff. So we left. We had been up there the day before, spoke to a waiter, looked at the menu & said we'd...More"", 'albert3332014jogja': 'First time when I saw the room on Agoda and Tripadvisor, the pictures look quite old and dull but then I continued booking it because of its prime location. When I reached the hotel, I was not disappointed. The room looks reasonably well maintained, the...More'}",+60 4-263 3311,7 Jalan Penang,George Town Penang Island 10000 ,Malaysia,2018-07-21 12:57:31,{},,
8,Qureshi Malaysia,4.5 ,133,,+60 3-2011 1007,"1 Ground Floor, East Wing, TPC Kuala Lumpur , No 10 Jalan 1/70D Off Jalan Bukit Kiara",Kuala Lumpur 60000 ,Malaysia,2018-07-21 12:57:31,,,
9,Food Tour Malaysia,5.0 ,923,,+60 13-227 1505,,Kuala Lumpur 47400 ,Malaysia,2018-07-21 12:57:31,"{'roti': '41', 'local food': '65', 'meeting point': '28', 'locals eat': '21', 'night market': '49', 'otak otak': '11', 'an indian restaurant': '15', 'great guide': '31', 'empty stomach': '17', 'love food': '15', 'different foods': '20', 'food stops': '9', 'four hours': '13', 'curry': '16', 'little india': '38', 'highlight of our trip': '15', 'small group': '16'}",,S$87.05
