Index,Title,Rating,Review Count,Phone Number,Address,Locality,Country
0,National Orchid Garden,4.5 ,"11,800",+65 6471 7361,1 Cluny Rd,"Singapore 259569, ",Singapore
1,Singapore Mass Rapid Transit (SMRT),4.5 ,"17,815",+65 1800 336 8900,,"Singapore 069112, ",Singapore
2,Gardens by the Bay,4.5 ,"47,505",+65 6420 6848,18 Marina Gardens Drive,"Singapore 018953, ",Singapore
3,Bukit Brown Cemetery,4.5 ,192,,Lorong Halwa,"Singapore, ",Singapore
4,Buddha Tooth Relic Temple and Museum,4.5 ,"5,614",+65 6220 0220,288 South Bridge Road,"Singapore 058840, ",Singapore
5,Sungei Buloh Wetland Reserve,4.5 ,423,+65 6794 1401,301 Neo Tiew Crescent Sungei Buloh Wetland Reserve,"Singapore 718925, ",Singapore
6,Maxwell Food Centre,4.0 ,"2,854",+65 6225 5632,1 Kadayanallur Street,"Singapore 069184, ",Singapore
7,Kampong Glam,4.0 ,366,+65 6391 0450,Kampong Glam,"Singapore, ",Singapore
8,Merlion Park,4.0 ,"8,217",+65 6736 6622,1 Fullerton Road One Fullerton,"Singapore 049213, ",Singapore
9,Reflections at Bukit Chandu,4.5 ,86,+65 6375 2510,31K Pepys Road,"Singapore 118458, ",Singapore
10,River Safari,4.0 ,"2,368",+65 6269 3411,80 Mandai Lake Road Singapore Zoological Gardens,"Singapore 729826, ",Singapore
11,Katong District,4.0 ,196,,East Coast Road,"Singapore, ",Singapore
