Index,Title,Rating,Review Count,Phone Number,Address,Locality,Country
0,Phuket Big Buddha,4.5,"13,013","Soi Yot Sane 1, Chaofa West Rd., Chalong, Phuket Town, Phuket 83100, Thailand","Soi Yot Sane 1, Chaofa West Rd.","Chalong, Phuket Town, Phuket 83100, ",Thailand
1,Bangla Road,4.0,"16,946","Soi Bangla, Patong, Kathu, Phuket 83150, Thailand",Soi Bangla,"Patong, Kathu, Phuket 83150, ",Thailand
2,Temple of the Reclining Buddha (Wat Pho),4.5,"43,843","2 Sanamchai Road. | Grand Palace, Pranakorn, Bangkok 10200, Thailand",2 Sanamchai Road.,"Bangkok 10200, ",Thailand
3,BTS Skytrain,4.5,"42,552","Bangkok, Thailand",,"Bangkok, ",Thailand
4,Patong Beach,3.5,"13,742","Patong, Kathu, Phuket 83000, Thailand",,"Patong, Kathu, Phuket 83000, ",Thailand
5,Temple of the Emerald Buddha (Wat Phra Kaew),4.5,"13,911","Na Phra Lan Road | Phra Borom Maha Rajawang, Phra Nakhon, Bangkok 10200, Thailand",Na Phra Lan Road,"Bangkok 10200, ",Thailand
6,Temple of Dawn (Wat Arun),4.5,"17,145","158 Wang Doem Road | Wat Arun, Bang Kok Yai, Bangkok 10600, Thailand",158 Wang Doem Road,"Bangkok 10600, ",Thailand
7,Jim Thompson House,4.5,"12,370","6, Soi Kasem San 2, Rama 1 Road | Wang Mai, Pathum Wan, Bangkok 10330, Thailand","6, Soi Kasem San 2, Rama 1 Road","Bangkok 10330, ",Thailand
8,The Grand Palace,4.5,"30,620","Na Phra Lan Rd, Maharaj Pier | next to Wat Phra Kaeo Temple Complex, Bangkok, Thailand","Na Phra Lan Rd, Maharaj Pier","Bangkok, ",Thailand
9,Maeklang Elephant Conservation Community,5.0,218,"Mae Wang 50360, Thailand",,"Mae Wang 50360, ",Thailand
10,Soi Dog Foundation,5.0,804,"167/9 Soi Mai Khao 10, Phuket 83110, Thailand",167/9 Soi Mai Khao 10,"Phuket 83110, ",Thailand
11,Wildlife Friends of Thailand,5.0,659,"Moo 6 | Tambon Thamairuak, Tha Yang 76130, Thailand",Moo 6,"Tha Yang 76130, ",Thailand
12,Phang Nga Elephant Park,5.0,616,"49/1 Moo 3 | Tambon Thung Kha Ngok, Phang Nga 82000, Thailand",49/1 Moo 3,"Phang Nga 82000, ",Thailand
13,The Thai Experience,5.0,872,"4169 | Near Tesco Lotus in Lamai, Maret 84310, Thailand",4169,"Maret 84310, ",Thailand
14,Lanta Animal Welfare,5.0,"2,611","629 Moo. 2, Ko Lanta 81150, Thailand",629 Moo. 2,"Ko Lanta 81150, ",Thailand
15,Sitsongpeenong Muay Thai Training Phuket,5.0,120,"188 Moo 3, Hat Surin 4, Choeng Thale, Phuket 83100, Thailand","188 Moo 3, Hat Surin 4","Choeng Thale, Phuket 83100, ",Thailand
16,Samui Elephant Sanctuary,5.0,136,"2/8 Moo 6, 84329, Thailand",2/8 Moo 6,"84329, ",Thailand
17,Maerim Elephant Sanctuary,5.0,677,"31 Moo 8, Mae Rim 50180, Thailand",31 Moo 8,"Mae Rim 50180, ",Thailand
18,Diamond Muay Thai,5.0,206,"145/8 Moo 1 | Nai Wok, Ko Pha Ngan 84280, Thailand",145/8 Moo 1,"Ko Pha Ngan 84280, ",Thailand
19,Nam Yang Kung Fu Retreat Day Courses,5.0,115,"116 Moo 5, Tambon Mae Na Toeng, Pai 58130, Thailand","116 Moo 5, Tambon Mae Na Toeng","Pai 58130, ",Thailand
20,Fresh Start Fitness Holiday Bootcamp,5.0,159,"165 Moo 4 | The Spa Resort, Huai Sai, Mae Rim 50180, Thailand",165 Moo 4,"Mae Rim 50180, ",Thailand
21,Green Elephant Sanctuary Park,5.0,193,"4, Soi Cherngtalay 1, Si Sunthon Road, Choeng Thale, Phuket 83110, Thailand","4, Soi Cherngtalay 1, Si Sunthon Road","Choeng Thale, Phuket 83110, ",Thailand
22,Elephant Care & Grand Canyon Jumping,5.0,117,"99 31 Sridonchai Rd, Chiang Mai 50100, Thailand",99 31 Sridonchai Rd,"Chiang Mai 50100, ",Thailand
23,Kobra Muay Thai Boxing Stadium,5.0,191,"112/22 Moo 1, Ko Pha Ngan 84280, Thailand",112/22 Moo 1,"Ko Pha Ngan 84280, ",Thailand
24,Tab Kak Hang Nak Hill Nature Trail,5.0,290,"Krabi Town, Thailand",,"Krabi Town, ",Thailand
25,Unit 27 Total Conditioning & CrossFit Gym,5.0,229,"9/49 moo 5, Soi Ta Aed, Chalong, Phuket Town, Phuket 83130, Thailand","9/49 moo 5, Soi Ta Aed","Chalong, Phuket Town, Phuket 83130, ",Thailand
26,Sukhothai Historical Park,4.5,"2,917","Mueang Kao, Mueang Sukhothai District, Amphoe Mueang, Sukhothai 64210, Thailand","Mueang Kao, Mueang Sukhothai District, Amphoe Mueang","Sukhothai 64210, ",Thailand
27,Elephant Haven,5.0,171,"Sai Yok 71150, Thailand",,"Sai Yok 71150, ",Thailand
28,Tad Kwan Village Park & Waterfall,5.0,231,"Chiang Rai 57000, Thailand",,"Chiang Rai 57000, ",Thailand
29,Cheow Lan Dam (Ratchaprapa Dam),5.0,489,"Khao Sok National Park | Khao Pang Subdistrict, Ban Ta Khun 46820, Thailand",Khao Sok National Park,"Ban Ta Khun 46820, ",Thailand
