Index,Title,Rating,Review Count,Phone Number,Address,Locality,Country
0,Kulangsu Huandao Road,4.5 ,282,,Siming District,"Xiamen 361000, ",China
1,Xiamen Riyuegu Hot Spring Resort Communities,4.5 ,176,,"No.1888 Fulian Road, Dongfu Town, Haicang District","Xiamen 361027, ",China
2,Xiamen Botanical Garden,4.5 ,215,+86 592 203 8471,"No.25 Huyuan Road, Siming District","Xiamen 361000, ",China
3,Nanputuo Temple,4.5 ,704,+86 592 208 8554,"No.515 Siming South Road, Siming District","Xiamen 361005, ",China
4,Huaijiu Gulangyu Museum,4.5 ,262,,"No.38 Huangyan Road, Siming District","Xiamen 361002, ",China
5,Xiamen Shuzhuang Garden,4.5 ,237,,"South of Gulangyu Island, Siming District","Xiamen 361001, ",China
6,Xiamen Piano Museum,4.0 ,316,+86 592 206 0238,"No.7 Ganghou Road, Siming District","Xiamen 361002, ",China
7,Xiamen University,4.5 ,"1,206",+86 592 218 0000,"No.422 Siming South Road, Siming District","Xiamen, ",China
8,Riguang Mountain,4.0 ,223,+86 592 206 7284,"No.62 Huangyan Road, Siming District","Xiamen 361002, ",China
9,Gulangyu Island,4.5 ,"5,471",,"No.6 Lujiao Road, Siming District","Xiamen 361002, ",China
10,Zhongshan Road Walking Street,4.0 ,715,,Siming District,"Xiamen 361001, ",China
11,Xiamen Bailuzhou Park,4.0 ,111,,"Bailuzhou Road, Siming District","Xiamen 361004, ",China
12,Huandao Road Muzhan Avenue,4.5 ,67,,"BHuandao Road, Siming District","Xiamen, ",China
13,Haiwan Park,4.0 ,84,,"No.9 Hubin West Road, Siming District","Xiamen 361000, ",China
14,International Lettering Museum of Art of Xiamen,4.0 ,208,,"South of Gulangyu Island, Siming District","Xiamen 361002, ",China
15,Huli Mountain Fort,4.0 ,114,+86 592 208 4184,"No.2 Zengcuo'an, Siming District","Xiamen 361002, ",China
16,Zeng Cuo An Village,4.0 ,169,,Besides Huandao Road,"Xiamen 361005, ",China
17,Yuyuan Garden,4.0 ,61,,"Fuxing Road, Siming District","Xiamen 361002, ",China
18,Baicheng Beach,4.0 ,54,,South of Xianmen University,"Xiamen 361005, ",China
19,Xiamen Yuanbo Garden,4.0 ,82,+86 592 812 8700,"Zhongzhou Island, Jimei District","Xiamen 361000, ",China
20,Furong Tunnel,4.0 ,65,,"Xiamen University, No.422 Siming South Road","Xiamen, ",China
21,Xiamen Jimei Jiageng Park,4.0 ,66,+86 592 531 8858,Xiamen Jimen Jiageng Park,"Xiamen 361023, ",China
22,Xiamen International Conference & Exhibition Center (XICEC),4.0 ,63,+86 592 595 9898,"Huizhan North Road, Siming District","Xiamen 361008, ",China
23,Railway Culture Park,4.0 ,32,,"Wanshou Road, Siming District","Xiamen, ",China
24,Zhongshan Park,4.0 ,34,+86 592 207 0465,"Gongyuan West Road, Siming District","Xiamen 361000, ",China
25,Xiamen Lundu Port,4.0 ,57,,"No.15 Lujiang Avenue, Siming District","Xiamen 361001, ",China
26,Xiamen Wulao Mountain,4.0 ,38,,"No.515 North Road, Siming District","Xiamen 361000, ",China
27,Jimei School Village,4.0 ,37,,Gaoji Causeway,"Xiamen, ",China
28,Overseas Chinese Museum,4.0 ,38,,"West of Siming South Road, Siming District","Xiamen 361001, ",China
29,Taiwan Snack street,4.0 ,45,,"Renhe Road, Siming District","Xiamen 361001, ",China
30,Jimei Turtle Garden,4.0 ,42,,Jimei District,"Xiamen 361021, ",China
31,Wanda Plaza (xianyue road),4.0 ,26,+86 592 557 6999,XianYue Lu 4666Hao Jin HuBian ShuiKu,"Xiamen, ",China
32,Xiamen Nanhu Park,4.0 ,32,,"No.12 Huguang Road, Siming District","Xiamen 361004, ",China
33,Wuyuanwan Wetland Park,4.0 ,25,,"Within Huli District, Huli District","Xiamen 361009, ",China
34,Organ Museum,4.0 ,40,+86 592 537 1607,"Bagua Tower, Kulangsu, Siming District","Xiamen 361002, ",China
35,Xiamen Museum,4.5 ,24,+86 592 206 3005,"No.95 Tiyu Road, Siming District","Xiamen 361001, ",China
36,Yanwu Bridge,4.0 ,21,,"Around the Navy Wharf, Huandao Road, Siming District","Xiamen 361000, ",China
37,Xiamen Jinbang Park,4.0 ,38,,City Center,"Xiamen 361013, ",China
38,SM Town Plaza,4.0 ,31,+86 592 551 7933,JiaHeLu 468Hao Jin XianYue Lu,"Xiamen, ",China
39,Jimei Tourist Area,4.0 ,20,,"Jimei Town, Jimei District","Xiamen 361022, ",China
